#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.154663E+00   0.578377E+06   0.570470E+06   0.522755E+01   0.522752E+01   0.973999E+04   0.574749E+06   0.577139E+06   0.574749E+06  -0.451148E-01   0.557221E+06   0.557056E+06   0.373455E+00
   0.157414E+00   0.562158E+06   0.554105E+06   0.490434E+01   0.490431E+01   0.918339E+04   0.558573E+06   0.560897E+06   0.558573E+06  -0.438450E-01   0.541540E+06   0.541370E+06   0.379103E+00
   0.160165E+00   0.547027E+06   0.538913E+06   0.460939E+01   0.460935E+01   0.867229E+04   0.543494E+06   0.545757E+06   0.543494E+06  -0.426615E-01   0.526923E+06   0.526750E+06   0.378315E+00
   0.162916E+00   0.533111E+06   0.525028E+06   0.434144E+01   0.434140E+01   0.820581E+04   0.529640E+06   0.531846E+06   0.529640E+06  -0.415740E-01   0.513493E+06   0.513320E+06   0.371056E+00
   0.165668E+00   0.520465E+06   0.512507E+06   0.409874E+01   0.409871E+01   0.778202E+04   0.517064E+06   0.519219E+06   0.517064E+06  -0.405868E-01   0.501301E+06   0.501132E+06   0.357793E+00
   0.168419E+00   0.509060E+06   0.501316E+06   0.387906E+01   0.387903E+01   0.739686E+04   0.505740E+06   0.507848E+06   0.505740E+06  -0.396979E-01   0.490322E+06   0.490158E+06   0.339405E+00
   0.171170E+00   0.498798E+06   0.491340E+06   0.367981E+01   0.367978E+01   0.704622E+04   0.495563E+06   0.497630E+06   0.495563E+06  -0.388991E-01   0.480455E+06   0.480300E+06   0.317070E+00
   0.173921E+00   0.489513E+06   0.482402E+06   0.349820E+01   0.349818E+01   0.672570E+04   0.486371E+06   0.488400E+06   0.486371E+06  -0.381776E-01   0.471542E+06   0.471397E+06   0.292146E+00
   0.176672E+00   0.481022E+06   0.474295E+06   0.333158E+01   0.333156E+01   0.643070E+04   0.477974E+06   0.479969E+06   0.477974E+06  -0.375185E-01   0.463401E+06   0.463266E+06   0.266048E+00
   0.179424E+00   0.473132E+06   0.466806E+06   0.317753E+01   0.317750E+01   0.615674E+04   0.470178E+06   0.472141E+06   0.470178E+06  -0.369065E-01   0.455842E+06   0.455718E+06   0.240141E+00
   0.182175E+00   0.465661E+06   0.459732E+06   0.303392E+01   0.303390E+01   0.590018E+04   0.462800E+06   0.464733E+06   0.462800E+06  -0.363274E-01   0.448687E+06   0.448575E+06   0.215650E+00
   0.184926E+00   0.458447E+06   0.452891E+06   0.289899E+01   0.289897E+01   0.565806E+04   0.455673E+06   0.457577E+06   0.455673E+06  -0.357680E-01   0.441777E+06   0.441674E+06   0.193586E+00
   0.187677E+00   0.451342E+06   0.446121E+06   0.277125E+01   0.277123E+01   0.542766E+04   0.448649E+06   0.450524E+06   0.448649E+06  -0.352166E-01   0.434966E+06   0.434873E+06   0.174704E+00
   0.190429E+00   0.444218E+06   0.439280E+06   0.264946E+01   0.264944E+01   0.520661E+04   0.441599E+06   0.443445E+06   0.441599E+06  -0.346632E-01   0.428131E+06   0.428044E+06   0.159475E+00
   0.193180E+00   0.436972E+06   0.432257E+06   0.253266E+01   0.253264E+01   0.499342E+04   0.434417E+06   0.436233E+06   0.434417E+06  -0.340995E-01   0.421167E+06   0.421085E+06   0.148091E+00
   0.195931E+00   0.429526E+06   0.424972E+06   0.242015E+01   0.242013E+01   0.478691E+04   0.427027E+06   0.428813E+06   0.427027E+06  -0.335194E-01   0.414002E+06   0.413924E+06   0.140472E+00
   0.198682E+00   0.421843E+06   0.417389E+06   0.231150E+01   0.231149E+01   0.458619E+04   0.419391E+06   0.421146E+06   0.419391E+06  -0.329200E-01   0.406600E+06   0.406523E+06   0.136310E+00
   0.201434E+00   0.413928E+06   0.409517E+06   0.220655E+01   0.220654E+01   0.439112E+04   0.411515E+06   0.413238E+06   0.411515E+06  -0.323018E-01   0.398965E+06   0.398887E+06   0.135109E+00
   0.204185E+00   0.405822E+06   0.401406E+06   0.210535E+01   0.210533E+01   0.420206E+04   0.403442E+06   0.405130E+06   0.403442E+06  -0.316681E-01   0.391138E+06   0.391059E+06   0.136237E+00
   0.206936E+00   0.397595E+06   0.393139E+06   0.200807E+01   0.200806E+01   0.401939E+04   0.395243E+06   0.396898E+06   0.395243E+06  -0.310245E-01   0.383190E+06   0.383108E+06   0.138993E+00
   0.209687E+00   0.389337E+06   0.384815E+06   0.191497E+01   0.191496E+01   0.384364E+04   0.387008E+06   0.388629E+06   0.387008E+06  -0.303781E-01   0.375208E+06   0.375122E+06   0.142652E+00
   0.212438E+00   0.381142E+06   0.376542E+06   0.182628E+01   0.182626E+01   0.367551E+04   0.378835E+06   0.380422E+06   0.378835E+06  -0.297365E-01   0.367284E+06   0.367196E+06   0.146527E+00
   0.215190E+00   0.373102E+06   0.368424E+06   0.174219E+01   0.174218E+01   0.351557E+04   0.370816E+06   0.372370E+06   0.370816E+06  -0.291071E-01   0.359511E+06   0.359419E+06   0.150003E+00
   0.217941E+00   0.365302E+06   0.360559E+06   0.166285E+01   0.166284E+01   0.336405E+04   0.363038E+06   0.364560E+06   0.363038E+06  -0.284966E-01   0.351971E+06   0.351876E+06   0.152577E+00
   0.226657E+00   0.342944E+06   0.338159E+06   0.144308E+01   0.144307E+01   0.294192E+04   0.340766E+06   0.342195E+06   0.340766E+06  -0.267483E-01   0.330380E+06   0.330282E+06   0.151368E+00
   0.235722E+00   0.324304E+06   0.319805E+06   0.126171E+01   0.126170E+01   0.259100E+04   0.322247E+06   0.323599E+06   0.322247E+06  -0.252947E-01   0.312426E+06   0.312335E+06   0.134567E+00
   0.245150E+00   0.308960E+06   0.304984E+06   0.111152E+01   0.111152E+01   0.229863E+04   0.307049E+06   0.308338E+06   0.307049E+06  -0.241017E-01   0.297689E+06   0.297613E+06   0.109310E+00
   0.254955E+00   0.294762E+06   0.291286E+06   0.980620E+00   0.980613E+00   0.204143E+04   0.292987E+06   0.294218E+06   0.292987E+06  -0.229979E-01   0.284055E+06   0.283991E+06   0.878447E-01
   0.265152E+00   0.279701E+06   0.276488E+06   0.860361E+00   0.860355E+00   0.180253E+04   0.278029E+06   0.279198E+06   0.278029E+06  -0.218238E-01   0.269554E+06   0.269495E+06   0.778940E-01
   0.275756E+00   0.263352E+06   0.260163E+06   0.748884E+00   0.748878E+00   0.157851E+04   0.261752E+06   0.262853E+06   0.261752E+06  -0.205462E-01   0.253774E+06   0.253713E+06   0.773442E-01
   0.286785E+00   0.247131E+06   0.243921E+06   0.649646E+00   0.649641E+00   0.137725E+04   0.245595E+06   0.246628E+06   0.245595E+06  -0.192779E-01   0.238111E+06   0.238047E+06   0.774631E-01
   0.298255E+00   0.232785E+06   0.229701E+06   0.565747E+00   0.565743E+00   0.120596E+04   0.231329E+06   0.232302E+06   0.231329E+06  -0.181581E-01   0.224279E+06   0.224218E+06   0.716112E-01
   0.310184E+00   0.220611E+06   0.217806E+06   0.495758E+00   0.495754E+00   0.106229E+04   0.219249E+06   0.220172E+06   0.219249E+06  -0.172099E-01   0.212567E+06   0.212513E+06   0.609414E-01
   0.322590E+00   0.209356E+06   0.206824E+06   0.435020E+00   0.435017E+00   0.936744E+03   0.208084E+06   0.208960E+06   0.208084E+06  -0.163335E-01   0.201742E+06   0.201694E+06   0.516263E-01
   0.335491E+00   0.197734E+06   0.195340E+06   0.379874E+00   0.379871E+00   0.821808E+03   0.196531E+06   0.197359E+06   0.196531E+06  -0.154267E-01   0.190541E+06   0.190496E+06   0.472937E-01
   0.348909E+00   0.185882E+06   0.183539E+06   0.330138E+00   0.330136E+00   0.717399E+03   0.184737E+06   0.185515E+06   0.184737E+06  -0.145008E-01   0.179107E+06   0.179061E+06   0.455547E-01
   0.362864E+00   0.174938E+06   0.172691E+06   0.287252E+00   0.287250E+00   0.626809E+03   0.173854E+06   0.174586E+06   0.173854E+06  -0.136466E-01   0.168556E+06   0.168512E+06   0.422412E-01
   0.377377E+00   0.165281E+06   0.163204E+06   0.250933E+00   0.250932E+00   0.549731E+03   0.164263E+06   0.164956E+06   0.164263E+06  -0.128938E-01   0.159258E+06   0.159218E+06   0.369707E-01
   0.392470E+00   0.156210E+06   0.154291E+06   0.219281E+00   0.219279E+00   0.482184E+03   0.155255E+06   0.155909E+06   0.155255E+06  -0.121867E-01   0.150523E+06   0.150487E+06   0.325265E-01
   0.408166E+00   0.147136E+06   0.145309E+06   0.190959E+00   0.190957E+00   0.421385E+03   0.146233E+06   0.146850E+06   0.146233E+06  -0.114786E-01   0.141777E+06   0.141742E+06   0.300485E-01
   0.424491E+00   0.138392E+06   0.136643E+06   0.166055E+00   0.166054E+00   0.367646E+03   0.137538E+06   0.138119E+06   0.137538E+06  -0.107960E-01   0.133347E+06   0.133314E+06   0.278684E-01
   0.441468E+00   0.130439E+06   0.128802E+06   0.144707E+00   0.144706E+00   0.321387E+03   0.129635E+06   0.130182E+06   0.129635E+06  -0.101757E-01   0.125685E+06   0.125654E+06   0.249367E-01
   0.459125E+00   0.123007E+06   0.121481E+06   0.126172E+00   0.126171E+00   0.281040E+03   0.122252E+06   0.122768E+06   0.122252E+06  -0.959617E-02   0.118527E+06   0.118498E+06   0.222284E-01
   0.477487E+00   0.115778E+06   0.114333E+06   0.109796E+00   0.109795E+00   0.245244E+03   0.115066E+06   0.115551E+06   0.115066E+06  -0.903206E-02   0.111560E+06   0.111532E+06   0.203270E-01
   0.496584E+00   0.108925E+06   0.107558E+06   0.955040E-01   0.955033E-01   0.213875E+03   0.108254E+06   0.108711E+06   0.108254E+06  -0.849736E-02   0.104955E+06   0.104929E+06   0.185326E-01
   0.516445E+00   0.102573E+06   0.101293E+06   0.831511E-01   0.831505E-01   0.186662E+03   0.101942E+06   0.102372E+06   0.101942E+06  -0.800189E-02   0.988355E+05   0.988110E+05   0.166227E-01
   0.537100E+00   0.965375E+05   0.953343E+05   0.723554E-01   0.723549E-01   0.162802E+03   0.959440E+05   0.963491E+05   0.959440E+05  -0.753110E-02   0.930206E+05   0.929975E+05   0.150267E-01
   0.558581E+00   0.907864E+05   0.896507E+05   0.629115E-01   0.629110E-01   0.141852E+03   0.902275E+05   0.906086E+05   0.902275E+05  -0.708239E-02   0.874783E+05   0.874565E+05   0.136626E-01
   0.580922E+00   0.854025E+05   0.843361E+05   0.547165E-01   0.547161E-01   0.123624E+03   0.848770E+05   0.852355E+05   0.848770E+05  -0.666240E-02   0.822909E+05   0.822704E+05   0.123186E-01
   0.604156E+00   0.803187E+05   0.793166E+05   0.475776E-01   0.475772E-01   0.107696E+03   0.798246E+05   0.801618E+05   0.798246E+05  -0.626581E-02   0.773924E+05   0.773732E+05   0.111276E-01
   0.628319E+00   0.755021E+05   0.745589E+05   0.413505E-01   0.413502E-01   0.937631E+02   0.750374E+05   0.753545E+05   0.750374E+05  -0.589004E-02   0.727511E+05   0.727330E+05   0.100781E-01
   0.653448E+00   0.709751E+05   0.700893E+05   0.359390E-01   0.359388E-01   0.816276E+02   0.705384E+05   0.708364E+05   0.705384E+05  -0.553689E-02   0.683892E+05   0.683722E+05   0.909519E-02
   0.815300E+00   0.498637E+05   0.492415E+05   0.162192E-01   0.162191E-01   0.371119E+02   0.495568E+05   0.497663E+05   0.495568E+05  -0.388995E-02   0.480469E+05   0.480350E+05   0.511957E-02
   0.101724E+01   0.348277E+05   0.343933E+05   0.727708E-02   0.727702E-02   0.167329E+02   0.346133E+05   0.347597E+05   0.346133E+05  -0.271697E-02   0.335588E+05   0.335504E+05   0.286526E-02
   0.126920E+01   0.241975E+05   0.238957E+05   0.324780E-02   0.324778E-02   0.749270E+01   0.240486E+05   0.241503E+05   0.240486E+05  -0.188769E-02   0.233159E+05   0.233101E+05   0.159594E-02
   0.158357E+01   0.167321E+05   0.165234E+05   0.144263E-02   0.144262E-02   0.333530E+01   0.166291E+05   0.166994E+05   0.166291E+05  -0.130530E-02   0.161224E+05   0.161184E+05   0.885280E-03
   0.197580E+01   0.115203E+05   0.113766E+05   0.638050E-03   0.638045E-03   0.147715E+01   0.114493E+05   0.114978E+05   0.114493E+05  -0.898713E-03   0.111005E+05   0.110978E+05   0.489404E-03
   0.246519E+01   0.790098E+04   0.780246E+04   0.281099E-03   0.281097E-03   0.651383E+00   0.785234E+04   0.788555E+04   0.785234E+04  -0.616367E-03   0.761311E+04   0.761121E+04   0.269858E-03
   0.307579E+01   0.539961E+04   0.533228E+04   0.123404E-03   0.123403E-03   0.286124E+00   0.536637E+04   0.538907E+04   0.536637E+04  -0.421232E-03   0.520288E+04   0.520157E+04   0.148570E-03
   0.383763E+01   0.367826E+04   0.363238E+04   0.540002E-04   0.539998E-04   0.125254E+00   0.365562E+04   0.367108E+04   0.365562E+04  -0.286947E-03   0.354424E+04   0.354335E+04   0.817790E-04
   0.478816E+01   0.249829E+04   0.246711E+04   0.235604E-04   0.235602E-04   0.546645E-01   0.248291E+04   0.249341E+04   0.248291E+04  -0.194895E-03   0.240726E+04   0.240665E+04   0.450888E-04
   0.597414E+01   0.169228E+04   0.167114E+04   0.102517E-04   0.102516E-04   0.237889E-01   0.168185E+04   0.168897E+04   0.168185E+04  -0.132017E-03   0.163062E+04   0.163019E+04   0.249655E-04
   0.745387E+01   0.114347E+04   0.112917E+04   0.444975E-05   0.444972E-05   0.103262E-01   0.113642E+04   0.114123E+04   0.113642E+04  -0.892034E-04   0.110180E+04   0.110151E+04   0.139325E-04
   0.930012E+01   0.770884E+03   0.761221E+03   0.192701E-05   0.192699E-05   0.447218E-02   0.766130E+03   0.769371E+03   0.766130E+03  -0.601372E-04   0.742792E+03   0.742582E+03   0.787580E-05
   0.116037E+02   0.518606E+03   0.512083E+03   0.832750E-06   0.832744E-06   0.193288E-02   0.515405E+03   0.517585E+03   0.515405E+03  -0.404566E-04   0.499705E+03   0.499554E+03   0.453881E-05
   0.144778E+02   0.348209E+03   0.343804E+03   0.359167E-06   0.359164E-06   0.833589E-03   0.346055E+03   0.347519E+03   0.346055E+03  -0.271635E-04   0.335515E+03   0.335404E+03   0.268753E-05
   0.180637E+02   0.233374E+03   0.230397E+03   0.154627E-06   0.154626E-06   0.358979E-03   0.231927E+03   0.232908E+03   0.231927E+03  -0.182051E-04   0.224864E+03   0.224779E+03   0.164859E-05
   0.225379E+02   0.156145E+03   0.154127E+03   0.664553E-07   0.664548E-07   0.154237E-03   0.155173E+03   0.155829E+03   0.155173E+03  -0.121802E-04   0.150448E+03   0.150380E+03   0.105512E-05
   0.281203E+02   0.104306E+03   0.102930E+03   0.285147E-07   0.285145E-07   0.661962E-04   0.103652E+03   0.104090E+03   0.103652E+03  -0.813612E-05   0.100497E+03   0.100440E+03   0.707419E-06
   0.350855E+02   0.695703E+02   0.686243E+02   0.122160E-07   0.122159E-07   0.283632E-04   0.691298E+02   0.694222E+02   0.691298E+02  -0.542632E-05   0.670267E+02   0.669769E+02   0.496660E-06
   0.437757E+02   0.463338E+02   0.456743E+02   0.522543E-08   0.522539E-08   0.121276E-04   0.460358E+02   0.462305E+02   0.460358E+02  -0.361357E-05   0.446364E+02   0.445910E+02   0.363424E-06
   0.546185E+02   0.308131E+02   0.303440E+02   0.223173E-08   0.223171E-08   0.517908E-05   0.306101E+02   0.307396E+02   0.306101E+02  -0.240273E-05   0.296808E+02   0.296379E+02   0.275086E-06
   0.681469E+02   0.204606E+02   0.201178E+02   0.951591E-09   0.951584E-09   0.220958E-05   0.203210E+02   0.204070E+02   0.203210E+02  -0.159509E-05   0.197053E+02   0.196637E+02   0.213571E-06
   0.850262E+02   0.135646E+02   0.133051E+02   0.405017E-09   0.405014E-09   0.941390E-06   0.134670E+02   0.135240E+02   0.134670E+02  -0.105709E-05   0.130602E+02   0.130192E+02   0.168716E-06
   0.106086E+03   0.897651E+01   0.877198E+01   0.172018E-09   0.172017E-09   0.399743E-06   0.890681E+01   0.894448E+01   0.890681E+01  -0.699138E-06   0.863900E+01   0.859820E+01   0.134677E-06
   0.132363E+03   0.592753E+01   0.575923E+01   0.728671E-10   0.728666E-10   0.169365E-06   0.587632E+01   0.590118E+01   0.587632E+01  -0.461260E-06   0.570091E+01   0.566009E+01   0.107988E-06
   0.165148E+03   0.390366E+01   0.375953E+01   0.307616E-10   0.307614E-10   0.715779E-07   0.386474E+01   0.388109E+01   0.386474E+01  -0.303362E-06   0.375065E+01   0.370985E+01   0.865107E-07
   0.206053E+03   0.256187E+01   0.243449E+01   0.129276E-10   0.129275E-10   0.300910E-07   0.253122E+01   0.254192E+01   0.253122E+01  -0.198687E-06   0.245775E+01   0.241723E+01   0.688697E-07
   0.257090E+03   0.167364E+01   0.155891E+01   0.540002E-11   0.539998E-11   0.126037E-07   0.164870E+01   0.165568E+01   0.164870E+01  -0.129415E-06   0.160206E+01   0.156230E+01   0.541537E-07
   0.320768E+03   0.108699E+01   0.983300E+00   0.223798E-11   0.223796E-11   0.523134E-08   0.106624E+01   0.107075E+01   0.106624E+01  -0.836946E-07   0.103721E+01   0.998948E+00   0.417658E-07
   0.400219E+03   0.701016E+00   0.608554E+00   0.918702E-12   0.918695E-12   0.215533E-08   0.683648E+00   0.686540E+00   0.683648E+00  -0.536628E-07   0.666030E+00   0.630190E+00   0.313557E-07
   0.499349E+03   0.448770E+00   0.368739E+00   0.373349E-12   0.373347E-12   0.878975E-09   0.434402E+00   0.436239E+00   0.434402E+00  -0.340983E-07   0.424042E+00   0.391555E+00   0.227801E-07
   0.623033E+03   0.285642E+00   0.219149E+00   0.150479E-12   0.150478E-12   0.358930E-09   0.274072E+00   0.275231E+00   0.274072E+00  -0.215132E-07   0.268196E+00   0.239681E+00   0.160253E-07
   0.777351E+03   0.181500E+00   0.128338E+00   0.604045E-13   0.604041E-13   0.143551E-09   0.172447E+00   0.173176E+00   0.172447E+00  -0.135362E-07   0.169263E+00   0.144770E+00   0.110324E-07
   0.969893E+03   0.115611E+00   0.739921E-01   0.242316E-13   0.242315E-13   0.584975E-10   0.108635E+00   0.109095E+00   0.108635E+00  -0.852729E-08   0.107037E+00   0.862493E-01   0.750449E-08
   0.121012E+04   0.738970E-01   0.417417E-01   0.972202E-14   0.972196E-14   0.242259E-10   0.685724E-01   0.688625E-01   0.685724E-01  -0.538258E-08   0.678720E-01   0.505908E-01   0.500023E-08
