#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714774E-02   0.640909E+07   0.640394E+07   0.273102E+05   0.273100E+05   0.382721E+07   0.639742E+07   0.640829E+07   0.639744E+07  -0.502172E+00   0.619517E+07   0.619501E+07   0.765620E+01
   0.739001E-02   0.636573E+07   0.636025E+07   0.253738E+05   0.253736E+05   0.373542E+07   0.635380E+07   0.636487E+07   0.635382E+07  -0.498748E+00   0.615303E+07   0.615286E+07   0.784165E+01
   0.764050E-02   0.632122E+07   0.631539E+07   0.235694E+05   0.235692E+05   0.364378E+07   0.630903E+07   0.632030E+07   0.630905E+07  -0.495233E+00   0.610978E+07   0.610960E+07   0.803027E+01
   0.789947E-02   0.627545E+07   0.626926E+07   0.218878E+05   0.218876E+05   0.355211E+07   0.626302E+07   0.627448E+07   0.626303E+07  -0.491621E+00   0.606532E+07   0.606513E+07   0.822198E+01
   0.816722E-02   0.622842E+07   0.622184E+07   0.203209E+05   0.203208E+05   0.346071E+07   0.621574E+07   0.622739E+07   0.621576E+07  -0.487910E+00   0.601964E+07   0.601944E+07   0.841668E+01
   0.844405E-02   0.618011E+07   0.617312E+07   0.188612E+05   0.188611E+05   0.336983E+07   0.616718E+07   0.617902E+07   0.616720E+07  -0.484098E+00   0.597271E+07   0.597250E+07   0.861426E+01
   0.873027E-02   0.613050E+07   0.612307E+07   0.175015E+05   0.175014E+05   0.327955E+07   0.611733E+07   0.612933E+07   0.611734E+07  -0.480184E+00   0.592453E+07   0.592431E+07   0.881457E+01
   0.902618E-02   0.607959E+07   0.607170E+07   0.162354E+05   0.162353E+05   0.318978E+07   0.606619E+07   0.607836E+07   0.606620E+07  -0.476170E+00   0.587510E+07   0.587487E+07   0.901745E+01
   0.933212E-02   0.602732E+07   0.601895E+07   0.150563E+05   0.150562E+05   0.310044E+07   0.601369E+07   0.602601E+07   0.601370E+07  -0.472048E+00   0.582435E+07   0.582411E+07   0.922270E+01
   0.964844E-02   0.597370E+07   0.596481E+07   0.139586E+05   0.139585E+05   0.301128E+07   0.595983E+07   0.597230E+07   0.595984E+07  -0.467821E+00   0.577230E+07   0.577204E+07   0.943011E+01
