#bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv bias_qso growth_rate drp Lpar_cross Lper_cross qso_evol_0 qso_evol_1 sigma_velo_lorentz qso_rad_strength qso_rad_asymmetry qso_rad_lifetime qso_rad_decrease bias_Si2c beta_Si2c alpha_Si2c bias_Si3 beta_Si3 alpha_Si3 bias_Si2b beta_Si2b alpha_Si2b bias_Si2a beta_Si2a alpha_Si2a qso_metal_boost chi2
-0.335741073312 2.04008989472 0.8 1.05862068966 2.9 3.26 1.966 1.0 0.0317466216116 0.571582885253 60.7735517219 -0.268911204066 -0.666666666667 300.0 3.87084 0.97076 -0.937143606772 4.0 4.0 0.53 0.289 6.4627278654 0.246488611701 0.0 inf 300.0 0.000244776891044 0.5 1.0 -0.00677371426137 0.5 1.0 -0.00400626106335 0.5 1.0 -0.00138331957583 0.5 1.0 1.0 2606.47291653
-0.336076005771 2.03433021813 0.8 1.08620689655 2.9 3.26 1.966 1.0 0.0316912274912 0.571625906286 60.7693193424 -0.266079123544 -0.666666666667 300.0 3.87084 0.97076 -0.937148154235 4.0 4.0 0.53 0.289 6.45719518412 0.24952041411 0.0 inf 300.0 0.000254141556342 0.5 1.0 -0.00679132462427 0.5 1.0 -0.00400795087274 0.5 1.0 -0.00137693475587 0.5 1.0 1.0 2605.96093495
-0.336395154743 2.02405551409 0.8 1.11379310345 2.9 3.26 1.966 1.0 0.0316301826663 0.571525278926 60.7665979552 -0.263561832659 -0.666666666667 300.0 3.87084 0.97076 -0.936969404366 4.0 4.0 0.53 0.289 6.44381788655 0.255255768829 0.0 inf 300.0 0.00026079798259 0.5 1.0 -0.00680713952013 0.5 1.0 -0.00400824516091 0.5 1.0 -0.0013705246678 0.5 1.0 1.0 2605.26883162
-0.336691094405 2.0091227423 0.8 1.14137931034 2.9 3.26 1.966 1.0 0.0315762654431 0.571387263473 60.7729459854 -0.261397750277 -0.666666666667 300.0 3.87084 0.97076 -0.936529055284 4.0 4.0 0.53 0.289 6.4222859315 0.263762686989 0.0 inf 300.0 0.000266845924491 0.5 1.0 -0.00682065284142 0.5 1.0 -0.0040075553959 0.5 1.0 -0.00136506516839 0.5 1.0 1.0 2604.38574428
-0.336958450843 1.99066793614 0.8 1.16896551724 2.9 3.26 1.966 1.0 0.031534172965 0.571075829524 60.7856768502 -0.259606907692 -0.666666666667 300.0 3.87084 0.97076 -0.935865949133 4.0 4.0 0.53 0.289 6.39417390229 0.274437300465 0.0 inf 300.0 0.000271089531107 0.5 1.0 -0.00683196866788 0.5 1.0 -0.00400631902483 0.5 1.0 -0.00135993246082 0.5 1.0 1.0 2603.34865362
-0.337174628354 1.97055095312 0.8 1.19655172414 2.9 3.26 1.966 1.0 0.0315341579179 0.570568572155 60.8376735054 -0.258157247659 -0.666666666667 300.0 3.87084 0.97076 -0.93450781747 4.0 4.0 0.53 0.289 6.36077004119 0.286131307207 0.0 inf 300.0 0.000280988929123 0.5 1.0 -0.00684265820055 0.5 1.0 -0.00400563374943 0.5 1.0 -0.00135710602517 0.5 1.0 1.0 2602.23892482
-0.337418441239 1.95037833759 0.8 1.22413793103 2.9 3.26 1.966 1.0 0.0314941000658 0.570330759467 60.8558335531 -0.256722764402 -0.666666666667 300.0 3.87084 0.97076 -0.934151511137 4.0 4.0 0.53 0.289 6.32917557179 0.298322855707 0.0 inf 300.0 0.000281864706822 0.5 1.0 -0.00685276354828 0.5 1.0 -0.00400363343985 0.5 1.0 -0.00135278603563 0.5 1.0 1.0 2601.16342003
-0.337648872228 1.9326143889 0.8 1.25172413793 2.9 3.26 1.966 1.0 0.0314544498158 0.570154200074 60.879735558 -0.255298321668 -0.666666666667 300.0 3.87084 0.97076 -0.933783373798 4.0 4.0 0.53 0.289 6.30134437031 0.309172583446 0.0 inf 300.0 0.000283307844137 0.5 1.0 -0.00686225445642 0.5 1.0 -0.00400153792579 0.5 1.0 -0.00134990983328 0.5 1.0 1.0 2600.22979053
-0.337871325506 1.91864585023 0.8 1.27931034483 2.9 3.26 1.966 1.0 0.0314114374557 0.570099582201 60.9098000113 -0.253759876252 -0.666666666667 300.0 3.87084 0.97076 -0.933494790086 4.0 4.0 0.53 0.289 6.2799430903 0.317743234722 0.0 inf 300.0 0.000285312072305 0.5 1.0 -0.00687138885473 0.5 1.0 -0.00399929064332 0.5 1.0 -0.00134843020595 0.5 1.0 1.0 2599.51855574
-0.338087633741 1.90910405895 0.8 1.30689655172 2.9 3.26 1.966 1.0 0.0313628678914 0.570168329107 60.9455504296 -0.252043082025 -0.666666666667 300.0 3.87084 0.97076 -0.933355237943 4.0 4.0 0.53 0.289 6.26630468286 0.323559602819 0.0 inf 300.0 0.000287986853338 0.5 1.0 -0.00688013778746 0.5 1.0 -0.00399696722076 0.5 1.0 -0.00134827113104 0.5 1.0 1.0 2599.06899123
-0.33829628883 1.90386081115 0.8 1.33448275862 2.9 3.26 1.966 1.0 0.0313092616291 0.57033270814 60.9858368123 -0.250157426981 -0.666666666667 300.0 3.87084 0.97076 -0.93338647843 4.0 4.0 0.53 0.289 6.26031471748 0.326638182997 0.0 inf 300.0 0.000291369067666 0.5 1.0 -0.00688836415021 0.5 1.0 -0.00399469693713 0.5 1.0 -0.00134917266885 0.5 1.0 1.0 2598.87647368
-0.338491143792 1.90271281863 0.8 1.36206896552 2.9 3.26 1.966 1.0 0.0312456006255 0.570380189053 61.0170397247 -0.24823261582 -0.666666666667 300.0 3.87084 0.97076 -0.933577851531 4.0 4.0 0.53 0.289 6.26153871051 0.327279045102 0.0 inf 300.0 0.000297162252315 0.5 1.0 -0.0068970661404 0.5 1.0 -0.00399332326744 0.5 1.0 -0.00135130445894 0.5 1.0 1.0 2598.90274056
-0.338670839604 1.90361208891 0.8 1.38965517241 2.9 3.26 1.966 1.0 0.031191378245 0.570712968222 61.0663175293 -0.246208987016 -0.666666666667 300.0 3.87084 0.97076 -0.933835823284 4.0 4.0 0.53 0.289 6.26640255501 0.326276557975 0.0 inf 300.0 0.000302528321926 0.5 1.0 -0.00690374172254 0.5 1.0 -0.00399194376406 0.5 1.0 -0.00135358680828 0.5 1.0 1.0 2599.09103411
-0.338849705761 1.90626707308 0.8 1.41724137931 2.9 3.26 1.966 1.0 0.0311527113905 0.571005107053 61.1186204248 -0.24417407497 -0.666666666667 300.0 3.87084 0.97076 -0.934272803061 4.0 4.0 0.53 0.289 6.27438339796 0.32416002457 0.0 inf 300.0 0.000305623494799 0.5 1.0 -0.00690961010746 0.5 1.0 -0.00398982466629 0.5 1.0 -0.00135430810353 0.5 1.0 1.0 2599.37905642
-0.339005341439 1.91020720059 0.8 1.44482758621 2.9 3.26 1.966 1.0 0.0311091719519 0.571347706442 61.1636643702 -0.242263708171 -0.666666666667 300.0 3.87084 0.97076 -0.934648450221 4.0 4.0 0.53 0.289 6.28443665407 0.321252007822 0.0 inf 300.0 0.000310208205401 0.5 1.0 -0.00691539864857 0.5 1.0 -0.00398874935756 0.5 1.0 -0.0013568441671 0.5 1.0 1.0 2599.70735592
-0.339152183575 1.91365294263 0.8 1.4724137931 2.9 3.26 1.966 1.0 0.0310784893707 0.571427490316 61.2003722428 -0.240474311856 -0.666666666667 300.0 3.87084 0.97076 -0.935137808862 4.0 4.0 0.53 0.289 6.29357737648 0.318639493096 0.0 inf 300.0 0.000315000485065 0.5 1.0 -0.00692136118573 0.5 1.0 -0.00398750269786 0.5 1.0 -0.00135895436983 0.5 1.0 1.0 2600.02404882
-0.339265639389 1.91673355224 0.8 1.5 2.9 3.26 1.966 1.0 0.0310633232807 0.571611485602 61.236514398 -0.238980908713 -0.666666666667 300.0 3.87084 0.97076 -0.935576296217 4.0 4.0 0.53 0.289 6.30130848316 0.316265323369 0.0 inf 300.0 0.000319448080561 0.5 1.0 -0.00692718573012 0.5 1.0 -0.00398644386071 0.5 1.0 -0.00136066699184 0.5 1.0 1.0 2600.28531168
-0.338712159933 2.43169756319 0.855555555556 0.7 2.9 3.26 1.966 1.0 0.0288345442269 0.560505891703 60.5222696492 -0.242711170069 -0.666666666667 300.0 3.87084 0.97076 -0.943816325079 4.0 4.0 0.53 0.289 7.12923208448 0.0649439125395 0.0 inf 300.0 0.00053337257092 0.5 1.0 -0.00669920772004 0.5 1.0 -0.00394524886947 0.5 1.0 -0.00138361109456 0.5 1.0 1.0 2626.74876436
