bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv bias_qso growth_rate drp Lpar_cross Lper_cross qso_evol_0 qso_evol_1 sigma_velo_lorentz qso_rad_strength qso_rad_asymmetry qso_rad_lifetime qso_rad_decrease bias_Si2c beta_Si2c alpha_Si2c bias_Si3 beta_Si3 alpha_Si3 bias_Si2b beta_Si2b alpha_Si2b bias_Si2a beta_Si2a alpha_Si2a qso_metal_boost chi2
-0.354094975827 2.29611998554 1.12551462429 0.55527638191 2.9 3.26 1.966 1.0 0.0245785896481 0.535093366408 62.4665331752 -0.134884376693 -0.666666666667 300.0 3.87084 0.97076 -0.932867226899 4.0 4.0 0.53 0.289 7.16865422437 0.156821366142 0.0 inf 300.0 0.0004481859513 0.5 1.0 -0.00690229251657 0.5 1.0 -0.00392885395921 0.5 1.0 -0.00140714263221 0.5 1.0 1.0 2597.14124061
-0.354172023615 2.30137594504 1.12492771761 0.560301507538 2.9 3.26 1.966 1.0 0.0245582333217 0.535431815519 62.4735738771 -0.134007950814 -0.666666666667 300.0 3.87084 0.97076 -0.932991216821 4.0 4.0 0.53 0.289 7.17890757733 0.154005273361 0.0 inf 300.0 0.000452236781808 0.5 1.0 -0.00690572115324 0.5 1.0 -0.00392900697375 0.5 1.0 -0.00140622767211 0.5 1.0 1.0 2597.57862169
-0.354239892737 2.30688305148 1.12442170023 0.565326633166 2.9 3.26 1.966 1.0 0.0245354813378 0.535901665865 62.4783794081 -0.133203750729 -0.666666666667 300.0 3.87084 0.97076 -0.933069497193 4.0 4.0 0.53 0.289 7.18861278921 0.151085128678 0.0 inf 300.0 0.000454196615919 0.5 1.0 -0.00690737049407 0.5 1.0 -0.00393026880679 0.5 1.0 -0.00140723313903 0.5 1.0 1.0 2598.01904009
-0.354305854851 2.31209596422 1.12401725094 0.570351758794 2.9 3.26 1.966 1.0 0.0245144031925 0.536334866035 62.4792263912 -0.132348342418 -0.666666666667 300.0 3.87084 0.97076 -0.933311545238 4.0 4.0 0.53 0.289 7.19911214202 0.148087454552 0.0 inf 300.0 0.000456579208867 0.5 1.0 -0.00690767139083 0.5 1.0 -0.00393085049423 0.5 1.0 -0.00140883894752 0.5 1.0 1.0 2598.45986145
-0.354369376643 2.31767181178 1.12373435286 0.575376884422 2.9 3.26 1.966 1.0 0.024507033521 0.536506151441 62.488623745 -0.131520602216 -0.666666666667 300.0 3.87084 0.97076 -0.933367704938 4.0 4.0 0.53 0.289 7.20977044951 0.145012038754 0.0 inf 300.0 0.000454670669848 0.5 1.0 -0.00690995873981 0.5 1.0 -0.00393027889922 0.5 1.0 -0.00141050538964 0.5 1.0 1.0 2598.897909
-0.354419888257 2.32189215235 1.12350579369 0.58040201005 2.9 3.26 1.966 1.0 0.0245007262797 0.536951405447 62.555810052 -0.130553204339 -0.666666666667 300.0 3.87084 0.97076 -0.933616710963 4.0 4.0 0.53 0.289 7.21764255163 0.142267255774 0.0 inf 300.0 0.000462084683965 0.5 1.0 -0.00691260665158 0.5 1.0 -0.00392830273864 0.5 1.0 -0.00141842016265 0.5 1.0 1.0 2599.32983744
-0.354477044572 2.32745531833 1.12338527127 0.585427135678 2.9 3.26 1.966 1.0 0.0245119890344 0.537266789391 62.5316928495 -0.130045692359 -0.666666666667 300.0 3.87084 0.97076 -0.934147750002 4.0 4.0 0.53 0.289 7.22782061043 0.139346677566 0.0 inf 300.0 0.000462762957952 0.5 1.0 -0.0069156108832 0.5 1.0 -0.00393483789415 0.5 1.0 -0.00141025939698 0.5 1.0 1.0 2599.75236166
-0.354507478918 2.33267748671 1.12339191553 0.590452261307 2.9 3.26 1.966 1.0 0.0245234153474 0.537765450392 62.5582717821 -0.12934185004 -0.666666666667 300.0 3.87084 0.97076 -0.934086887133 4.0 4.0 0.53 0.289 7.23699832642 0.136366329277 0.0 inf 300.0 0.0004635864873 0.5 1.0 -0.00691935001577 0.5 1.0 -0.00393670772324 0.5 1.0 -0.00141078276398 0.5 1.0 1.0 2600.16079386
-0.354557443754 2.33725179142 1.12343601158 0.595477386935 2.9 3.26 1.966 1.0 0.0245388588918 0.538153904292 62.5790745893 -0.128651296579 -0.666666666667 300.0 3.87084 0.97076 -0.933716469062 4.0 4.0 0.53 0.289 7.24466274913 0.13394617344 0.0 inf 300.0 0.000464335070788 0.5 1.0 -0.00692369972882 0.5 1.0 -0.00393878897118 0.5 1.0 -0.00141396979845 0.5 1.0 1.0 2600.55109215
-0.354587436666 2.34173896458 1.12358718329 0.600502512563 2.9 3.26 1.966 1.0 0.0245633533931 0.538683739207 62.6077467925 -0.128038707743 -0.666666666667 300.0 3.87084 0.97076 -0.933767415855 4.0 4.0 0.53 0.289 7.25261823163 0.131341713559 0.0 inf 300.0 0.000464678909782 0.5 1.0 -0.0069267360998 0.5 1.0 -0.00394071608722 0.5 1.0 -0.00141570911907 0.5 1.0 1.0 2600.91863145
