# BB-cf_LYA_in_LYA_LYA_in_LYB_z_0_10-0-broadband_sky-scale-sky BB-cf_LYA_in_LYA_LYA_in_LYB_z_0_10-0-broadband_sky-sigma-sky BB-cf_z_0_10-0-broadband_sky-scale-sky BB-cf_z_0_10-0-broadband_sky-sigma-sky L0_hcd alpha_CIV(eff) alpha_LYA alpha_SiII(1190) alpha_SiII(1193) alpha_SiII(1260) alpha_SiIII(1207) ap at bao_amp beta_CIV(eff) beta_LYA beta_SiII(1190) beta_SiII(1193) beta_SiII(1260) beta_SiIII(1207) beta_hcd bias_eta_CIV(eff) bias_eta_LYA bias_eta_SiII(1190) bias_eta_SiII(1193) bias_eta_SiII(1260) bias_eta_SiIII(1207) bias_hcd dnl_arinyo_av dnl_arinyo_bv dnl_arinyo_kp dnl_arinyo_kv dnl_arinyo_q1 growth_rate par-binsize-cf_LYA_in_LYA_LYA_in_LYB_z_0_10 par-binsize-cf_z_0_10 per-binsize-cf_LYA_in_LYA_LYA_in_LYB_z_0_10 per-binsize-cf_z_0_10 sigmaNL_par sigmaNL_per chi2
1.335903e-02 3.396640e+01 9.419371e-03 3.127040e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.481481e-01 1.000000e+00 2.700000e-01 1.679188e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.488202e-01 -5.279756e-03 -2.009959e-01 -2.981268e-03 -2.096237e-03 -3.095958e-03 -4.531090e-03 -5.315154e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.236523e+03
1.335897e-02 3.396838e+01 9.419450e-03 3.127303e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.629630e-01 1.000000e+00 2.700000e-01 1.678222e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.486985e-01 -5.290495e-03 -2.009642e-01 -2.979983e-03 -2.092965e-03 -3.095744e-03 -4.530454e-03 -5.311075e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.234961e+03
1.335888e-02 3.397024e+01 9.419594e-03 3.127529e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.777778e-01 1.000000e+00 2.700000e-01 1.677234e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.485740e-01 -5.298597e-03 -2.009323e-01 -2.978848e-03 -2.089798e-03 -3.095563e-03 -4.529562e-03 -5.306912e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.233463e+03
1.335873e-02 3.397194e+01 9.419821e-03 3.127710e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.925926e-01 1.000000e+00 2.700000e-01 1.676250e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.484445e-01 -5.304637e-03 -2.009010e-01 -2.977865e-03 -2.086757e-03 -3.095391e-03 -4.528444e-03 -5.302747e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.232052e+03
1.335703e-02 3.397839e+01 9.427614e-03 3.126202e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.007407e+00 1.000000e+00 2.700000e-01 1.673996e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.485212e-01 -5.297780e-03 -2.007990e-01 -2.978476e-03 -2.082126e-03 -3.098550e-03 -4.522440e-03 -5.298040e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.230756e+03
1.335934e-02 3.398025e+01 9.432523e-03 3.127298e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.022222e+00 1.000000e+00 2.700000e-01 1.671890e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.485653e-01 -5.360134e-03 -2.007125e-01 -2.976699e-03 -2.079931e-03 -3.094896e-03 -4.524658e-03 -5.287472e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.229604e+03
1.335314e-02 3.398215e+01 9.422286e-03 3.127683e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.037037e+00 1.000000e+00 2.700000e-01 1.673710e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.478826e-01 -5.344867e-03 -2.008241e-01 -2.975690e-03 -2.077612e-03 -3.095734e-03 -4.524146e-03 -5.289566e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.228617e+03
1.335304e-02 3.398165e+01 9.422404e-03 3.127773e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.051852e+00 1.000000e+00 2.700000e-01 1.673067e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.477345e-01 -5.353035e-03 -2.008043e-01 -2.975215e-03 -2.075477e-03 -3.095294e-03 -4.522742e-03 -5.286204e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.227817e+03
1.335293e-02 3.398064e+01 9.422520e-03 3.127812e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.066667e+00 1.000000e+00 2.700000e-01 1.672544e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.475869e-01 -5.363005e-03 -2.007880e-01 -2.974908e-03 -2.073556e-03 -3.094760e-03 -4.521290e-03 -5.283193e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.227208e+03
1.335282e-02 3.397913e+01 9.422639e-03 3.127800e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.081481e+00 1.000000e+00 2.700000e-01 1.672142e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.474391e-01 -5.374909e-03 -2.007751e-01 -2.974754e-03 -2.071848e-03 -3.094128e-03 -4.519819e-03 -5.280549e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.226790e+03
