bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv Lpar_auto Lper_auto bias_qso growth_rate drp Lpar_cross Lper_cross qso_evol_0 qso_evol_1 sigma_velo_lorentz qso_rad_strength qso_rad_asymmetry qso_rad_lifetime qso_rad_decrease bias_Si3 beta_Si3 alpha_Si3 bias_Si2a beta_Si2a alpha_Si2a bias_Si2b beta_Si2b alpha_Si2b bias_Si2c beta_Si2c alpha_Si2c bias_CIVa beta_CIVa alpha_CIVa qso_metal_boost chi2
-0.353743491249 1.65433683246 0.5 0.959136431935 2.9 3.26 1.966 1.0 -0.0260833597868 0.756811531664 23.3843502795 0.0975383290817 -0.666666666667 300.0 4.0 4.0 3.67146781703 0.97076 -0.803615867025 4.0 4.0 0.53 0.289 4.69344130591 0.607947387098 0.0 inf 300.0 -0.0039612989092 0.5 1.0 -0.00331972272482 0.5 1.0 -0.00277333907279 0.5 1.0 -0.00181888471953 0.5 1.0 -0.0250498765927 0.5 1.0 1.0 3871.61848121
-0.353676765996 1.65493489716 0.505025125628 0.955883778075 2.9 3.26 1.966 1.0 -0.0260257659778 0.755815323811 23.3690801582 0.0962943711617 -0.666666666667 300.0 4.0 4.0 3.67124967088 0.97076 -0.80383424402 4.0 4.0 0.53 0.289 4.69455021496 0.607475627958 0.0 inf 300.0 -0.00397246531196 0.5 1.0 -0.003320880083 0.5 1.0 -0.00277156110833 0.5 1.0 -0.00182650359555 0.5 1.0 -0.0250726171849 0.5 1.0 1.0 3871.76729243
-0.353604625053 1.65554809904 0.510050251256 0.952660539163 2.9 3.26 1.966 1.0 -0.0259643616814 0.754749989127 23.353512174 0.0949359202477 -0.666666666667 300.0 4.0 4.0 3.6710026972 0.97076 -0.804058642814 4.0 4.0 0.53 0.289 4.69566768287 0.606980673431 0.0 inf 300.0 -0.00398401857099 0.5 1.0 -0.00332233917014 0.5 1.0 -0.00276986896565 0.5 1.0 -0.00183455365001 0.5 1.0 -0.0250979861304 0.5 1.0 1.0 3871.97772347
-0.35352694417 1.65617209368 0.515075376884 0.949476073246 2.9 3.26 1.966 1.0 -0.0258990697645 0.75361342879 23.337695349 0.0934593302839 -0.666666666667 300.0 4.0 4.0 3.67072125899 0.97076 -0.80428897299 4.0 4.0 0.53 0.289 4.69678958217 0.606457086884 0.0 inf 300.0 -0.00399594006361 0.5 1.0 -0.00332412537726 0.5 1.0 -0.00276828212209 0.5 1.0 -0.00184304239622 0.5 1.0 -0.0251262781752 0.5 1.0 1.0 3872.25627765
-0.353443683952 1.65680257651 0.520100502513 0.946363470296 2.9 3.26 1.966 1.0 -0.025829926298 0.752405377474 23.3217279469 0.0918623177058 -0.666666666667 300.0 4.0 4.0 3.6703986395 0.97076 -0.804524297247 4.0 4.0 0.53 0.289 4.69791178193 0.605898726507 0.0 inf 300.0 -0.0040081712513 0.5 1.0 -0.00332626542025 0.5 1.0 -0.0027668228573 0.5 1.0 -0.00185197676855 0.5 1.0 -0.0251574768457 0.5 1.0 1.0 3872.60947711
-0.35335480779 1.65743490732 0.525125628141 0.943326840784 2.9 3.26 1.966 1.0 -0.0257568748502 0.751125135909 23.3056316077 0.0901432152391 -0.666666666667 300.0 4.0 4.0 3.67002945101 0.97076 -0.804766381811 4.0 4.0 0.53 0.289 4.6990325227 0.60529983198 0.0 inf 300.0 -0.00402070787228 0.5 1.0 -0.00332877815399 0.5 1.0 -0.00276550650689 0.5 1.0 -0.0018613577354 0.5 1.0 -0.0251918563498 0.5 1.0 1.0 3873.04385524
-0.353240973448 1.65820021265 0.530150753769 0.940227032442 2.9 3.26 1.966 1.0 -0.0256949421746 0.751094449895 23.298961149 0.088406684756 -0.666666666667 300.0 4.0 4.0 3.66912432185 0.97076 -0.804859374448 4.0 4.0 0.53 0.289 4.70025095026 0.603894014579 0.0 inf 300.0 -0.00402465390403 0.5 1.0 -0.00333009948618 0.5 1.0 -0.0027683572559 0.5 1.0 -0.00186969815962 0.5 1.0 -0.025277439984 0.5 1.0 1.0 3873.56618959
-0.353144039826 1.65875631489 0.535175879397 0.937409869993 2.9 3.26 1.966 1.0 -0.0256102934628 0.749772069777 23.2821588201 0.086466280768 -0.666666666667 300.0 4.0 4.0 3.66866426887 0.97076 -0.805114333899 4.0 4.0 0.53 0.289 4.70139257267 0.603238242851 0.0 inf 300.0 -0.00403867234661 0.5 1.0 -0.00333312371289 0.5 1.0 -0.00276722060525 0.5 1.0 -0.00188009052319 0.5 1.0 -0.0253166782 0.5 1.0 1.0 3874.18183041
-0.353041872467 1.65931695098 0.540201005025 0.934699030365 2.9 3.26 1.966 1.0 -0.0255221958502 0.748363970501 23.2650659958 0.0844086714394 -0.666666666667 300.0 4.0 4.0 3.66811562621 0.97076 -0.805407300047 4.0 4.0 0.53 0.289 4.70252231961 0.602486223396 0.0 inf 300.0 -0.00405308901283 0.5 1.0 -0.0033365732399 0.5 1.0 -0.00276631132174 0.5 1.0 -0.00189095040867 0.5 1.0 -0.0253581030362 0.5 1.0 1.0 3874.89673688
-0.35293473778 1.65988637521 0.545226130653 0.932103019658 2.9 3.26 1.966 1.0 -0.0254317835374 0.746860582346 23.2478895236 0.0822439270929 -0.666666666667 300.0 4.0 4.0 3.66748348236 0.97076 -0.805738062533 4.0 4.0 0.53 0.289 4.70365465096 0.60163709552 0.0 inf 300.0 -0.00406766821076 0.5 1.0 -0.00334043382629 0.5 1.0 -0.00276564949574 0.5 1.0 -0.00190190746838 0.5 1.0 -0.0254024911689 0.5 1.0 1.0 3875.71592764
