bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv Lpar_auto Lper_auto bias_qso growth_rate drp Lpar_cross Lper_cross qso_evol_0 qso_evol_1 sigma_velo_lorentz qso_rad_strength qso_rad_asymmetry qso_rad_lifetime qso_rad_decrease bias_Si3 beta_Si3 alpha_Si3 bias_Si2a beta_Si2a alpha_Si2a bias_Si2b beta_Si2b alpha_Si2b bias_Si2c beta_Si2c alpha_Si2c bias_CIVa beta_CIVa alpha_CIVa qso_metal_boost chi2
-0.35322068086 1.70872083487 1.0972605401 0.550251256281 2.9 3.26 1.966 1.0 -0.0272570568332 0.793258375542 23.7836544938 0.0865105111082 -0.666666666667 300.0 4.0 4.0 3.64733755178 0.97076 -0.79459281443 4.0 4.0 0.53 0.289 4.76337073518 0.564463224038 0.0 inf 300.0 -0.00369306636245 0.5 1.0 -0.00341912051352 0.5 1.0 -0.00296464248924 0.5 1.0 -0.00117875442525 0.5 1.0 -0.0256692778764 0.5 1.0 1.0 3877.94780096
-0.353221941263 1.709458339 1.09652651115 0.55527638191 2.9 3.26 1.966 1.0 -0.0272741383309 0.793078695348 23.7828909803 0.0866305474673 -0.666666666667 300.0 4.0 4.0 3.64651794026 0.97076 -0.794591027051 4.0 4.0 0.53 0.289 4.76397259079 0.563367299067 0.0 inf 300.0 -0.00369210095057 0.5 1.0 -0.0034188621402 0.5 1.0 -0.00296422703841 0.5 1.0 -0.00117392275719 0.5 1.0 -0.0256815427808 0.5 1.0 1.0 3878.99260408
-0.353224102323 1.71019111705 1.09594077191 0.560301507538 2.9 3.26 1.966 1.0 -0.0272923165581 0.792912012287 23.7823028664 0.086771876043 -0.666666666667 300.0 4.0 4.0 3.6456784067 0.97076 -0.794576750311 4.0 4.0 0.53 0.289 4.76455571995 0.562255405946 0.0 inf 300.0 -0.00369102246408 0.5 1.0 -0.00341860053456 0.5 1.0 -0.00296388029698 0.5 1.0 -0.00117026231788 0.5 1.0 -0.0256926659984 0.5 1.0 1.0 3880.0573175
-0.353227318375 1.71091411374 1.09550208875 0.565326633166 2.9 3.26 1.966 1.0 -0.0273115383344 0.792761214863 23.7819287019 0.0869355387384 -0.666666666667 300.0 4.0 4.0 3.64482066734 0.97076 -0.794547516571 4.0 4.0 0.53 0.289 4.76511232967 0.561131824365 0.0 inf 300.0 -0.00368981250518 0.5 1.0 -0.00341833702483 0.5 1.0 -0.0029636036155 0.5 1.0 -0.0011677584215 0.5 1.0 -0.0257022874282 0.5 1.0 1.0 3881.13408612
-0.353231617345 1.71162321902 1.09520441513 0.570351758794 2.9 3.26 1.966 1.0 -0.0273315196565 0.792626406093 23.7817067556 0.0871196685116 -0.666666666667 300.0 4.0 4.0 3.64394509848 0.97076 -0.794505120956 4.0 4.0 0.53 0.289 4.76563932106 0.559998386136 0.0 inf 300.0 -0.00368853018405 0.5 1.0 -0.00341807035282 0.5 1.0 -0.00296338725555 0.5 1.0 -0.00116636279097 0.5 1.0 -0.0257101497776 0.5 1.0 1.0 3882.21598923
-0.353237138222 1.71231063142 1.09507008551 0.575376884422 2.9 3.26 1.966 1.0 -0.0273521602305 0.792509718776 23.7816443086 0.0873254069092 -0.666666666667 300.0 4.0 4.0 3.64305548976 0.97076 -0.79444533966 4.0 4.0 0.53 0.289 4.76612570588 0.558862282663 0.0 inf 300.0 -0.00368718887035 0.5 1.0 -0.00341779875071 0.5 1.0 -0.00296323504575 0.5 1.0 -0.00116625327388 0.5 1.0 -0.025715857126 0.5 1.0 1.0 3883.29494657
-0.353243942332 1.71296844549 1.0950940185 0.58040201005 2.9 3.26 1.966 1.0 -0.0273731454124 0.792411095594 23.7816904502 0.0875511060339 -0.666666666667 300.0 4.0 4.0 3.64215616592 0.97076 -0.794373433761 4.0 4.0 0.53 0.289 4.76656367445 0.557731023613 0.0 inf 300.0 -0.00368584730849 0.5 1.0 -0.00341752026011 0.5 1.0 -0.00296313807821 0.5 1.0 -0.0011673903463 0.5 1.0 -0.0257190411385 0.5 1.0 1.0 3884.3604898
-0.35325202792 1.71359093551 1.0952654635 0.585427135678 2.9 3.26 1.966 1.0 -0.0273941462861 0.792329725838 23.7817869115 0.0877941294628 -0.666666666667 300.0 4.0 4.0 3.64125129679 0.97076 -0.794291469451 4.0 4.0 0.53 0.289 4.76695058189 0.556610773655 0.0 inf 300.0 -0.0036845627233 0.5 1.0 -0.00341723360496 0.5 1.0 -0.00296308487099 0.5 1.0 -0.00116969103536 0.5 1.0 -0.0257194468619 0.5 1.0 1.0 3885.40341932
-0.35326148976 1.71416799417 1.09558462282 0.590452261307 2.9 3.26 1.966 1.0 -0.0274149639273 0.792266096496 23.7819352531 0.0880540931128 -0.666666666667 300.0 4.0 4.0 3.64034910959 0.97076 -0.794190613112 4.0 4.0 0.53 0.289 4.76727785389 0.555514021388 0.0 inf 300.0 -0.00368334766491 0.5 1.0 -0.00341693946105 0.5 1.0 -0.00296307251277 0.5 1.0 -0.00117315986165 0.5 1.0 -0.02571670767 0.5 1.0 1.0 3886.4119802
-0.353272481158 1.71468876194 1.09606156404 0.595477386935 2.9 3.26 1.966 1.0 -0.0274355061029 0.792220512616 23.7821642888 0.0883317661607 -0.666666666667 300.0 4.0 4.0 3.63945958678 0.97076 -0.794074716048 4.0 4.0 0.53 0.289 4.76753364648 0.554455759875 0.0 inf 300.0 -0.00368220019858 0.5 1.0 -0.00341663687741 0.5 1.0 -0.00296310471494 0.5 1.0 -0.00117787873761 0.5 1.0 -0.0257102556173 0.5 1.0 1.0 3887.37459741
-0.353284993582 1.71514165953 1.0966885802 0.600502512563 2.9 3.26 1.966 1.0 -0.0274554068976 0.79219212842 23.7824425652 0.088625239923 -0.666666666667 300.0 4.0 4.0 3.63859606429 0.97076 -0.79394449244 4.0 4.0 0.53 0.289 4.76771107484 0.553453273119 0.0 inf 300.0 -0.00368116850863 0.5 1.0 -0.00341632396417 0.5 1.0 -0.00296317214759 0.5 1.0 -0.00118379101116 0.5 1.0 -0.0257001207467 0.5 1.0 1.0 3888.27795721
-0.353299113061 1.71551604671 1.09744126683 0.605527638191 2.9 3.26 1.966 1.0 -0.0274744943171 0.792179731179 23.7827926635 0.0889333926646 -0.666666666667 300.0 4.0 4.0 3.63777183047 0.97076 -0.793790272632 4.0 4.0 0.53 0.289 4.7678037236 0.552524967581 0.0 inf 300.0 -0.00368023832368 0.5 1.0 -0.00341600403409 0.5 1.0 -0.00296326837752 0.5 1.0 -0.0011907047198 0.5 1.0 -0.0256858246291 0.5 1.0 1.0 3889.10828025
-0.353314871365 1.71580075695 1.09829988629 0.610552763819 2.9 3.26 1.966 1.0 -0.027492564473 0.792181585158 23.7832247888 0.0892550711082 -0.666666666667 300.0 4.0 4.0 3.63700337779 0.97076 -0.793618576247 4.0 4.0 0.53 0.289 4.76780334379 0.551692236138 0.0 inf 300.0 -0.00367941648572 0.5 1.0 -0.00341567711535 0.5 1.0 -0.00296338759768 0.5 1.0 -0.00119846398015 0.5 1.0 -0.0256671333323 0.5 1.0 1.0 3889.85225274
-0.353332417992 1.71598166961 1.09927049673 0.615577889447 2.9 3.26 1.966 1.0 -0.0275095963534 0.792197756843 23.7838095277 0.0895921383241 -0.666666666667 300.0 4.0 4.0 3.63630882722 0.97076 -0.79343006705 4.0 4.0 0.53 0.289 4.76769697058 0.550979530511 0.0 inf 300.0 -0.00367866861961 0.5 1.0 -0.0034153433758 0.5 1.0 -0.00296353687182 0.5 1.0 -0.00120711769756 0.5 1.0 -0.0256437051664 0.5 1.0 1.0 3890.49659911
-0.353351853868 1.71604624511 1.10033894818 0.620603015075 2.9 3.26 1.966 1.0 -0.0275255463876 0.792227230952 23.7846098269 0.0899453146927 -0.666666666667 300.0 4.0 4.0 3.63570673899 0.97076 -0.793217383985 4.0 4.0 0.53 0.289 4.76747478375 0.550411413348 0.0 inf 300.0 -0.00367795334379 0.5 1.0 -0.00341500577932 0.5 1.0 -0.00296371747741 0.5 1.0 -0.00121655332735 0.5 1.0 -0.0256152661195 0.5 1.0 1.0 3891.02764644
-0.353373163773 1.71598585235 1.10147036704 0.625628140704 2.9 3.26 1.966 1.0 -0.0275402616831 0.792267429476 23.7856394108 0.0903130600098 -0.666666666667 300.0 4.0 4.0 3.63521492193 0.97076 -0.792982310714 4.0 4.0 0.53 0.289 4.76713162579 0.550009995265 0.0 inf 300.0 -0.00367726141767 0.5 1.0 -0.00341466614069 0.5 1.0 -0.00296392105473 0.5 1.0 -0.00122649187586 0.5 1.0 -0.0255817195172 0.5 1.0 1.0 3891.43324481
-0.353396374467 1.7157920225 1.10264681591 0.630653266332 2.9 3.26 1.966 1.0 -0.0275537159736 0.792316840181 23.7869421338 0.0906954902064 -0.666666666667 300.0 4.0 4.0 3.63484981031 0.97076 -0.792728094128 4.0 4.0 0.53 0.289 4.76666028471 0.549795969235 0.0 inf 300.0 -0.00367656398871 0.5 1.0 -0.00341432601302 0.5 1.0 -0.00296414735992 0.5 1.0 -0.00123678852647 0.5 1.0 -0.025542978821 0.5 1.0 1.0 3891.70328882
-0.353421548636 1.71545614033 1.10385696007 0.63567839196 2.9 3.26 1.966 1.0 -0.0275659793865 0.792374330609 23.7885862488 0.0910938806505 -0.666666666667 300.0 4.0 4.0 3.63462746242 0.97076 -0.792456988201 4.0 4.0 0.53 0.289 4.76605146123 0.549789989157 0.0 inf 300.0 -0.00367581341107 0.5 1.0 -0.00341398790299 0.5 1.0 -0.00296440099057 0.5 1.0 -0.00124735004074 0.5 1.0 -0.0254989523275 0.5 1.0 1.0 3891.82811111
