# BB-cf_LYA_in_LYA_LYA_in_LYB_z_0_10-0-broadband_sky-scale-sky BB-cf_LYA_in_LYA_LYA_in_LYB_z_0_10-0-broadband_sky-sigma-sky BB-cf_z_0_10-0-broadband_sky-scale-sky BB-cf_z_0_10-0-broadband_sky-sigma-sky L0_hcd alpha_CIV(eff) alpha_LYA alpha_QSO alpha_SiII(1190) alpha_SiII(1193) alpha_SiII(1260) alpha_SiIII(1207) ap at bao_amp beta_CIV(eff) beta_LYA beta_QSO beta_SiII(1190) beta_SiII(1193) beta_SiII(1260) beta_SiIII(1207) beta_hcd bias_eta_CIV(eff) bias_eta_LYA bias_eta_QSO bias_eta_SiII(1190) bias_eta_SiII(1193) bias_eta_SiII(1260) bias_eta_SiIII(1207) bias_hcd dnl_arinyo_av dnl_arinyo_bv dnl_arinyo_kp dnl_arinyo_kv dnl_arinyo_q1 drp_QSO growth_rate par-binsize-cf_LYA_in_LYA_LYA_in_LYB_z_0_10 par-binsize-cf_z_0_10 par-binsize-xcf_LYA_in_LYB_z_0_10 par-binsize-xcf_z_0_10 per-binsize-cf_LYA_in_LYA_LYA_in_LYB_z_0_10 per-binsize-cf_z_0_10 per-binsize-xcf_LYA_in_LYB_z_0_10 per-binsize-xcf_z_0_10 qso_rad_asymmetry qso_rad_decrease qso_rad_lifetime qso_rad_strength sigmaNL_par sigmaNL_per sigma_velo_lorentz_QSO chi2
1.324956e-02 3.406681e+01 9.300751e-03 3.138012e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.481481e-01 1.000000e+00 2.700000e-01 1.693008e+00 2.632220e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.074815e-01 -4.975889e-03 -2.018430e-01 1.000000e+00 -2.674367e-03 -1.270792e-03 -2.644986e-03 -3.738012e-03 -5.140958e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.945489e-02 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.817465e-01 6.369840e+00 3.240000e+00 6.939285e+00 9.747898e+03
1.325052e-02 3.406887e+01 9.301930e-03 3.138408e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.629630e-01 1.000000e+00 2.700000e-01 1.691196e+00 2.630867e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.072304e-01 -4.982232e-03 -2.017834e-01 1.000000e+00 -2.672057e-03 -1.267237e-03 -2.643208e-03 -3.737282e-03 -5.134089e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.895487e-02 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.843203e-01 6.369840e+00 3.240000e+00 6.936049e+00 9.744389e+03
1.325135e-02 3.407056e+01 9.302807e-03 3.138781e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.777778e-01 1.000000e+00 2.700000e-01 1.689505e+00 2.629614e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.069725e-01 -4.988023e-03 -2.017287e-01 1.000000e+00 -2.669929e-03 -1.263892e-03 -2.641165e-03 -3.736316e-03 -5.127513e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.849869e-02 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.867381e-01 6.369840e+00 3.240000e+00 6.932694e+00 9.741224e+03
1.325195e-02 3.407193e+01 9.303663e-03 3.139106e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.925926e-01 1.000000e+00 2.700000e-01 1.687925e+00 2.628589e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.067752e-01 -4.991787e-03 -2.016782e-01 1.000000e+00 -2.667958e-03 -1.260779e-03 -2.639615e-03 -3.735209e-03 -5.121164e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.806018e-02 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.888311e-01 6.369840e+00 3.240000e+00 6.929676e+00 9.738398e+03
1.325248e-02 3.407253e+01 9.304615e-03 3.139344e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.007407e+00 1.000000e+00 2.700000e-01 1.686506e+00 2.627722e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.065030e-01 -4.993809e-03 -2.016340e-01 1.000000e+00 -2.666418e-03 -1.258083e-03 -2.638174e-03 -3.733664e-03 -5.115470e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.769523e-02 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.906876e-01 6.369840e+00 3.240000e+00 6.926678e+00 9.735912e+03
1.325295e-02 3.407311e+01 9.305289e-03 3.139580e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.022222e+00 1.000000e+00 2.700000e-01 1.685167e+00 2.626941e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.063268e-01 -4.997230e-03 -2.015920e-01 1.000000e+00 -2.664711e-03 -1.255320e-03 -2.636787e-03 -3.732376e-03 -5.109768e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.733692e-02 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.923714e-01 6.369840e+00 3.240000e+00 6.923866e+00 9.733763e+03
1.325332e-02 3.407324e+01 9.305858e-03 3.139767e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.037037e+00 1.000000e+00 2.700000e-01 1.683969e+00 2.626256e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.061508e-01 -5.001429e-03 -2.015548e-01 1.000000e+00 -2.663154e-03 -1.252730e-03 -2.635495e-03 -3.730980e-03 -5.104478e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.701399e-02 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.938635e-01 6.369840e+00 3.240000e+00 6.921199e+00 9.731946e+03
1.325342e-02 3.407315e+01 9.306182e-03 3.139929e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.051852e+00 1.000000e+00 2.700000e-01 1.682904e+00 2.625644e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.059922e-01 -5.006644e-03 -2.015219e-01 1.000000e+00 -2.661622e-03 -1.250207e-03 -2.634483e-03 -3.729386e-03 -5.099579e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.670813e-02 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.951852e-01 6.369840e+00 3.240000e+00 6.918725e+00 9.730456e+03
1.325355e-02 3.407223e+01 9.306807e-03 3.139990e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.066667e+00 1.000000e+00 2.700000e-01 1.682031e+00 2.625092e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.057746e-01 -5.015674e-03 -2.014953e-01 1.000000e+00 -2.660478e-03 -1.247981e-03 -2.633415e-03 -3.727874e-03 -5.095392e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.655158e-02 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.963819e-01 6.369840e+00 3.240000e+00 6.916256e+00 9.729271e+03
1.325380e-02 3.407056e+01 9.307371e-03 3.139982e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 1.081481e+00 1.000000e+00 2.700000e-01 1.681301e+00 2.624681e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.055954e-01 -5.024029e-03 -2.014727e-01 1.000000e+00 -2.659524e-03 -1.246002e-03 -2.632518e-03 -3.726307e-03 -5.091543e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.633867e-02 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.972741e-01 6.369840e+00 3.240000e+00 6.914521e+00 9.728368e+03
